,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title,FamilySize
0,343,0,2,male,28.0,0,0,248740,13.0,S,Mrs,0
1,76,0,3,male,25.0,0,0,348123,7.65,S,Mrs,0
2,641,0,3,male,20.0,0,0,350050,7.8542,S,Mrs,0
3,568,0,3,female,29.0,0,4,349909,21.075,S,Mrs,4
4,672,0,1,male,31.0,1,0,F.C. 12750,52.0,S,Mrs,1
5,105,0,3,male,37.0,2,0,3101276,7.925,S,Mrs,2
6,576,0,3,male,19.0,0,0,358585,14.5,S,Mrs,0
7,382,1,3,female,1.0,0,2,2653,15.7417,C,Miss,2
8,228,0,3,male,20.5,0,0,A/5 21173,7.25,S,Mrs,0
9,433,1,2,female,42.0,1,0,SC/AH 3085,26.0,S,Mrs,1
10,135,0,2,male,25.0,0,0,C.A. 29178,13.0,S,Mrs,0
11,294,0,3,female,24.0,0,0,349236,8.85,S,Miss,0
12,755,1,2,female,48.0,1,2,220845,65.0,S,Mrs,3
13,595,0,2,male,37.0,1,0,SC/AH 29037,26.0,S,Mrs,1
14,127,0,3,male,28.0,0,0,370372,7.75,Q,Mrs,0
15,434,0,3,male,17.0,0,0,STON/O 2. 3101274,7.125,S,Mrs,0
16,378,0,1,male,27.0,0,2,113503,211.5,C,Mrs,2
17,533,0,3,male,17.0,1,1,2690,7.2292,C,Mrs,2
18,666,0,2,male,32.0,2,0,S.O.C. 14879,73.5,S,Mrs,2
19,225,1,1,male,38.0,1,0,19943,90.0,S,Mrs,1
20,83,1,3,female,28.0,0,0,330932,7.7875,Q,Miss,0
21,130,0,3,male,45.0,0,0,347061,6.975,S,Mrs,0
22,544,1,2,male,32.0,1,0,2908,26.0,S,Mrs,1
23,815,0,3,male,30.5,0,0,364499,8.05,S,Mrs,0
24,273,1,2,female,41.0,0,1,250644,19.5,S,Mrs,1
25,464,0,2,male,48.0,0,0,234360,13.0,S,Mrs,0
26,588,1,1,male,60.0,1,1,13567,79.2,C,Mrs,2
27,661,1,1,male,50.0,2,0,PC 17611,133.65,S,Officer,2
28,90,0,3,male,24.0,0,0,343275,8.05,S,Mrs,0
29,115,0,3,female,17.0,0,0,2627,14.4583,C,Miss,0
30,373,0,3,male,19.0,0,0,323951,8.05,S,Mrs,0
31,729,0,2,male,25.0,1,0,236853,26.0,S,Mrs,1
32,528,0,1,male,28.0,0,0,PC 17483,221.7792,S,Mrs,0
33,537,0,1,male,45.0,0,0,113050,26.55,S,Officer,0
34,727,1,2,female,30.0,3,0,31027,21.0,S,Mrs,3
35,31,0,1,male,40.0,0,0,PC 17601,27.7208,C,Royalty,0
36,477,0,2,male,34.0,1,0,31027,21.0,S,Mrs,1
37,431,1,1,male,28.0,0,0,110564,26.55,S,Mrs,0
38,664,0,3,male,36.0,0,0,349210,7.4958,S,Mrs,0
39,44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,C,Miss,3
40,347,1,2,female,40.0,0,0,31418,13.0,S,Miss,0
41,891,0,3,male,32.0,0,0,370376,7.75,Q,Mrs,0
42,100,0,2,male,34.0,1,0,244367,26.0,S,Mrs,1
43,72,0,3,female,16.0,5,2,CA 2144,46.9,S,Miss,7
44,198,0,3,male,42.0,0,1,4579,8.4042,S,Mrs,1
45,307,1,1,female,28.0,0,0,17421,110.8833,C,Miss,0
46,704,0,3,male,25.0,0,0,36864,7.7417,Q,Mrs,0
47,51,0,3,male,7.0,4,1,3101295,39.6875,S,Master,5
48,399,0,2,male,23.0,0,0,244278,10.5,S,Officer,0
49,563,0,2,male,28.0,0,0,218629,13.5,S,Mrs,0
50,186,0,1,male,28.0,0,0,113767,50.0,S,Mrs,0
51,483,0,3,male,50.0,0,0,A/5 3594,8.05,S,Mrs,0
52,445,1,3,male,28.0,0,0,65306,8.1125,S,Mrs,0
53,839,1,3,male,32.0,0,0,1601,56.4958,S,Mrs,0
54,75,1,3,male,32.0,0,0,1601,56.4958,S,Mrs,0
55,697,0,3,male,44.0,0,0,363592,8.05,S,Mrs,0
56,794,0,1,male,28.0,0,0,PC 17600,30.6958,C,Mrs,0
57,117,0,3,male,70.5,0,0,370369,7.75,Q,Mrs,0
58,686,0,2,male,25.0,1,2,SC/Paris 2123,41.5792,C,Mrs,3
59,453,0,1,male,30.0,0,0,113051,27.75,C,Mrs,0
60,152,1,1,female,22.0,1,0,113776,66.6,S,Mrs,1
61,639,0,3,female,41.0,0,5,3101295,39.6875,S,Mrs,5
62,538,1,1,female,30.0,0,0,PC 17761,106.425,C,Miss,0
63,718,1,2,female,27.0,0,0,34218,10.5,S,Miss,0
64,279,0,3,male,7.0,4,1,382652,29.125,Q,Master,5
65,397,0,3,female,31.0,0,0,350407,7.8542,S,Miss,0
66,877,0,3,male,20.0,0,0,7534,9.8458,S,Mrs,0
67,887,0,2,male,27.0,0,0,211536,13.0,S,Officer,0
68,220,0,2,male,30.0,0,0,W/C 14208,10.5,S,Mrs,0
69,863,1,1,female,48.0,0,0,17466,25.9292,S,Mrs,0
70,618,0,3,female,26.0,1,0,A/5. 3336,16.1,S,Mrs,1
71,45,1,3,female,19.0,0,0,330958,7.8792,Q,Miss,0
72,608,1,1,male,27.0,0,0,113804,30.5,S,Mrs,0
73,400,1,2,female,28.0,0,0,240929,12.65,S,Mrs,0
74,878,0,3,male,19.0,0,0,349212,7.8958,S,Mrs,0
75,662,0,3,male,40.0,0,0,2623,7.225,C,Mrs,0
76,212,1,2,female,35.0,0,0,F.C.C. 13528,21.0,S,Miss,0
77,296,0,1,male,28.0,0,0,PC 17612,27.7208,C,Mrs,0
78,29,1,3,female,28.0,0,0,330959,7.8792,Q,Miss,0
79,316,1,3,female,26.0,0,0,347470,7.8542,S,Miss,0
80,565,0,3,female,28.0,0,0,SOTON/O.Q. 392087,8.05,S,Miss,0
81,416,0,3,female,28.0,0,0,343095,8.05,S,Mrs,0
82,756,1,2,male,0.67,1,1,250649,14.5,S,Master,2
83,744,0,3,male,24.0,1,0,376566,16.1,S,Mrs,1
84,826,0,3,male,28.0,0,0,368323,6.95,Q,Mrs,0
85,442,0,3,male,20.0,0,0,345769,9.5,S,Mrs,0
86,811,0,3,male,26.0,0,0,3474,7.8875,S,Mrs,0
87,541,1,1,female,36.0,0,2,WE/P 5735,71.0,S,Miss,2
88,556,0,1,male,62.0,0,0,113807,26.55,S,Mrs,0
89,612,0,3,male,28.0,0,0,SOTON/O.Q. 3101305,7.05,S,Mrs,0
90,329,1,3,female,31.0,1,1,363291,20.525,S,Mrs,2
91,780,1,1,female,43.0,0,1,24160,211.3375,S,Mrs,1
92,717,1,1,female,38.0,0,0,PC 17757,227.525,C,Miss,0
93,50,0,3,female,18.0,1,0,349237,17.8,S,Mrs,1
94,305,0,3,male,28.0,0,0,A/5 2466,8.05,S,Mrs,0
95,525,0,3,male,28.0,0,0,2700,7.2292,C,Mrs,0
96,131,0,3,male,33.0,0,0,349241,7.8958,C,Mrs,0
97,889,0,3,female,28.0,1,2,W./C. 6607,23.45,S,Miss,3
98,32,1,1,female,28.0,1,0,PC 17569,146.5208,C,Mrs,1
99,96,0,3,male,28.0,0,0,374910,8.05,S,Mrs,0
100,197,0,3,male,28.0,0,0,368703,7.75,Q,Mrs,0
101,412,0,3,male,28.0,0,0,394140,6.8583,Q,Mrs,0
102,825,0,3,male,2.0,4,1,3101295,39.6875,S,Master,5
103,805,1,3,male,27.0,0,0,347089,6.975,S,Mrs,0
104,245,0,3,male,30.0,0,0,2694,7.225,C,Mrs,0
105,466,0,3,male,38.0,0,0,SOTON/O.Q. 3101306,7.05,S,Mrs,0
106,553,0,3,male,28.0,0,0,330979,7.8292,Q,Mrs,0
107,141,0,3,female,28.0,0,2,2678,15.2458,C,Mrs,2
108,181,0,3,female,28.0,8,2,CA. 2343,69.55,S,Miss,10
109,566,0,3,male,24.0,2,0,A/4 48871,24.15,S,Mrs,2
110,210,1,1,male,40.0,0,0,112277,31.0,C,Mrs,0
111,349,1,3,male,3.0,1,1,C.A. 37671,15.9,S,Master,2
112,706,0,2,male,39.0,0,0,250655,26.0,S,Mrs,0
113,795,0,3,male,25.0,0,0,349203,7.8958,S,Mrs,0
114,82,1,3,male,29.0,0,0,345779,9.5,S,Mrs,0
115,352,0,1,male,28.0,0,0,113510,35.0,S,Mrs,0
116,501,0,3,male,17.0,0,0,315086,8.6625,S,Mrs,0
117,763,1,3,male,20.0,0,0,2663,7.2292,C,Mrs,0
118,617,0,3,male,34.0,1,1,347080,14.4,S,Mrs,2
119,479,0,3,male,22.0,0,0,350060,7.5208,S,Mrs,0
120,883,0,3,female,22.0,0,0,7552,10.5167,S,Miss,0
121,688,0,3,male,19.0,0,0,349228,10.1708,S,Mrs,0
122,493,0,1,male,55.0,0,0,113787,30.5,S,Mrs,0
123,648,1,1,male,56.0,0,0,13213,35.5,C,Officer,0
124,339,1,3,male,45.0,0,0,7598,8.05,S,Mrs,0
125,314,0,3,male,28.0,0,0,349243,7.8958,S,Mrs,0
126,580,1,3,male,32.0,0,0,STON/O 2. 3101286,7.925,S,Mrs,0
127,683,0,3,male,20.0,0,0,6563,9.225,S,Mrs,0
128,56,1,1,male,28.0,0,0,19947,35.5,S,Mrs,0
129,235,0,2,male,24.0,0,0,C.A. 29566,10.5,S,Mrs,0
130,402,0,3,male,26.0,0,0,341826,8.05,S,Mrs,0
131,290,1,3,female,22.0,0,0,370373,7.75,Q,Miss,0
132,95,0,3,male,59.0,0,0,364500,7.25,S,Mrs,0
133,471,0,3,male,28.0,0,0,323592,7.25,S,Mrs,0
134,597,1,2,female,28.0,0,0,248727,33.0,S,Miss,0
135,835,0,3,male,18.0,0,0,2223,8.3,S,Mrs,0
136,499,0,1,female,25.0,1,2,113781,151.55,S,Mrs,3
137,219,1,1,female,32.0,0,0,11813,76.2917,C,Miss,0
138,340,0,1,male,45.0,0,0,113784,35.5,S,Mrs,0
139,311,1,1,female,24.0,0,0,11767,83.1583,C,Miss,0
140,441,1,2,female,45.0,1,1,F.C.C. 13529,26.25,S,Mrs,2
141,217,1,3,female,27.0,0,0,STON/O2. 3101283,7.925,S,Miss,0
142,472,0,3,male,38.0,0,0,315089,8.6625,S,Mrs,0
143,554,1,3,male,22.0,0,0,2620,7.225,C,Mrs,0
144,571,1,2,male,62.0,0,0,S.W./PP 752,10.5,S,Mrs,0
145,86,1,3,female,33.0,3,0,3101278,15.85,S,Mrs,3
146,302,1,3,male,28.0,2,0,367226,23.25,Q,Mrs,2
147,12,1,1,female,58.0,0,0,113783,26.55,S,Miss,0
148,313,0,2,female,26.0,1,1,250651,26.0,S,Mrs,2
149,564,0,3,male,28.0,0,0,SOTON/OQ 392082,8.05,S,Mrs,0
150,475,0,3,female,22.0,0,0,7553,9.8375,S,Miss,0
151,122,0,3,male,28.0,0,0,A4. 54510,8.05,S,Mrs,0
152,679,0,3,female,43.0,1,6,CA 2144,46.9,S,Mrs,7
153,643,0,3,female,2.0,3,2,347088,27.9,S,Miss,5
154,281,0,3,male,65.0,0,0,336439,7.75,Q,Mrs,0
155,750,0,3,male,31.0,0,0,335097,7.75,Q,Mrs,0
156,791,0,3,male,28.0,0,0,12460,7.75,Q,Mrs,0
157,405,0,3,female,20.0,0,0,315096,8.6625,S,Miss,0
158,17,0,3,male,2.0,4,1,382652,29.125,Q,Master,5
159,740,0,3,male,28.0,0,0,349218,7.8958,S,Mrs,0
160,819,0,3,male,43.0,0,0,C 7075,6.45,S,Mrs,0
161,218,0,2,male,42.0,1,0,243847,27.0,S,Mrs,1
162,875,1,2,female,28.0,1,0,P/PP 3381,24.0,C,Mrs,1
163,859,1,3,female,24.0,0,3,2666,19.2583,C,Mrs,3
164,610,1,1,female,40.0,0,0,PC 17582,153.4625,S,Miss,0
165,183,0,3,male,9.0,4,2,347077,31.3875,S,Master,6
166,173,1,3,female,1.0,1,1,347742,11.1333,S,Miss,2
167,223,0,3,male,51.0,0,0,21440,8.05,S,Mrs,0
168,497,1,1,female,54.0,1,0,36947,78.2667,C,Miss,1
169,368,1,3,female,28.0,0,0,2626,7.2292,C,Mrs,0
170,243,0,2,male,29.0,0,0,W./C. 14263,10.5,S,Mrs,0
171,649,0,3,male,28.0,0,0,S.O./P.P. 751,7.55,S,Mrs,0
172,246,0,1,male,44.0,2,0,19928,90.0,Q,Officer,2
173,736,0,3,male,28.5,0,0,54636,16.1,S,Mrs,0
174,390,1,2,female,17.0,0,0,SC 1748,12.0,C,Miss,0
175,687,0,3,male,14.0,4,1,3101295,39.6875,S,Mrs,5
176,91,0,3,male,29.0,0,0,343276,8.05,S,Mrs,0
177,708,1,1,male,42.0,0,0,PC 17476,26.2875,S,Mrs,0
178,801,0,2,male,34.0,0,0,250647,13.0,S,Mrs,0
179,145,0,2,male,18.0,0,0,231945,11.5,S,Mrs,0
180,168,0,3,female,45.0,1,4,347088,27.9,S,Mrs,5
181,309,0,2,male,30.0,1,0,P/PP 3381,24.0,C,Mrs,1
182,842,0,2,male,16.0,0,0,S.O./P.P. 3,10.5,S,Mrs,0
183,188,1,1,male,45.0,0,0,111428,26.55,S,Mrs,0
184,447,1,2,female,13.0,0,1,250644,19.5,S,Miss,1
185,549,0,3,male,33.0,1,1,363291,20.525,S,Mrs,2
186,495,0,3,male,21.0,0,0,A/4 45380,8.05,S,Mrs,0
187,790,0,1,male,46.0,0,0,PC 17593,79.2,C,Mrs,0
188,408,1,2,male,3.0,1,1,29106,18.75,S,Master,2
189,461,1,1,male,48.0,0,0,19952,26.55,S,Mrs,0
190,473,1,2,female,33.0,1,2,C.A. 34651,27.75,S,Mrs,3
191,636,1,2,female,28.0,0,0,237668,13.0,S,Miss,0
192,427,1,2,female,28.0,1,0,2003,26.0,S,Mrs,1
193,751,1,2,female,4.0,1,1,29103,23.0,S,Miss,2
194,531,1,2,female,2.0,1,1,26360,26.0,S,Miss,2
195,207,0,3,male,32.0,1,0,3101278,15.85,S,Mrs,1
196,635,0,3,female,9.0,3,2,347088,27.9,S,Miss,5
197,14,0,3,male,39.0,1,5,347082,31.275,S,Mrs,6
198,282,0,3,male,28.0,0,0,347464,7.8542,S,Mrs,0
199,800,0,3,female,30.0,1,1,345773,24.15,S,Mrs,2
200,733,0,2,male,28.0,0,0,239855,0.0,S,Mrs,0
201,628,1,1,female,21.0,0,0,13502,77.9583,S,Miss,0
202,77,0,3,male,28.0,0,0,349208,7.8958,S,Mrs,0
203,325,0,3,male,28.0,8,2,CA. 2343,69.55,S,Mrs,10
204,598,0,3,male,49.0,0,0,LINE,0.0,S,Mrs,0
205,776,0,3,male,18.0,0,0,347078,7.75,S,Mrs,0
206,200,0,2,female,24.0,0,0,248747,13.0,S,Miss,0
207,654,1,3,female,28.0,0,0,330919,7.8292,Q,Miss,0
208,604,0,3,male,44.0,0,0,364511,8.05,S,Mrs,0
209,133,0,3,female,47.0,1,0,A/5. 3337,14.5,S,Mrs,1
210,681,0,3,female,28.0,0,0,330935,8.1375,Q,Miss,0
211,268,1,3,male,25.0,1,0,347083,7.775,S,Mrs,1
212,841,0,3,male,20.0,0,0,SOTON/O2 3101287,7.925,S,Mrs,0
213,350,0,3,male,42.0,0,0,315088,8.6625,S,Mrs,0
214,136,0,2,male,23.0,0,0,SC/PARIS 2133,15.0458,C,Mrs,0
215,490,1,3,male,9.0,1,1,C.A. 37671,15.9,S,Master,2
216,87,0,3,male,16.0,1,3,W./C. 6608,34.375,S,Mrs,4
217,676,0,3,male,18.0,0,0,349912,7.775,S,Mrs,0
218,227,1,2,male,19.0,0,0,SW/PP 751,10.5,S,Mrs,0
219,855,0,2,female,44.0,1,0,244252,26.0,S,Mrs,1
220,547,1,2,female,19.0,1,0,2908,26.0,S,Mrs,1
221,854,1,1,female,16.0,0,1,PC 17592,39.4,S,Miss,1
222,719,0,3,male,28.0,0,0,36568,15.5,Q,Mrs,0
223,609,1,2,female,22.0,1,2,SC/Paris 2123,41.5792,C,Mrs,3
224,622,1,1,male,42.0,1,0,11753,52.5542,S,Mrs,1
225,583,0,2,male,54.0,0,0,28403,26.0,S,Mrs,0
226,536,1,2,female,7.0,0,2,F.C.C. 13529,26.25,S,Miss,2
227,239,0,2,male,19.0,0,0,28665,10.5,S,Mrs,0
228,11,1,3,female,4.0,1,1,PP 9549,16.7,S,Miss,2
229,277,0,3,female,45.0,0,0,347073,7.75,S,Miss,0
230,579,0,3,female,28.0,1,0,2689,14.4583,C,Mrs,1
231,660,0,1,male,58.0,0,2,35273,113.275,C,Mrs,2
232,8,0,3,male,2.0,3,1,349909,21.075,S,Master,4
233,711,1,1,female,24.0,0,0,PC 17482,49.5042,C,Miss,0
234,852,0,3,male,74.0,0,0,347060,7.775,S,Mrs,0
235,22,1,2,male,34.0,0,0,248698,13.0,S,Mrs,0
236,237,0,2,male,44.0,1,0,26707,26.0,S,Mrs,1
237,174,0,3,male,21.0,0,0,STON/O 2. 3101280,7.925,S,Mrs,0
238,601,1,2,female,24.0,2,1,243847,27.0,S,Mrs,3
239,20,1,3,female,28.0,0,0,2649,7.225,C,Mrs,0
240,423,0,3,male,29.0,0,0,315082,7.875,S,Mrs,0
241,468,0,1,male,56.0,0,0,113792,26.55,S,Mrs,0
242,714,0,3,male,29.0,0,0,7545,9.4833,S,Mrs,0
243,728,1,3,female,28.0,0,0,36866,7.7375,Q,Miss,0
244,357,1,1,female,22.0,0,1,113505,55.0,S,Miss,1
245,401,1,3,male,39.0,0,0,STON/O 2. 3101289,7.925,S,Mrs,0
246,393,0,3,male,28.0,2,0,3101277,7.925,S,Mrs,2
247,684,0,3,male,14.0,5,2,CA 2144,46.9,S,Mrs,7
248,745,1,3,male,31.0,0,0,STON/O 2. 3101288,7.925,S,Mrs,0
249,716,0,3,male,19.0,0,0,348124,7.65,S,Mrs,0
250,351,0,3,male,23.0,0,0,7267,9.225,S,Mrs,0
251,818,0,2,male,31.0,1,1,S.C./PARIS 2079,37.0042,C,Mrs,2
252,861,0,3,male,41.0,2,0,350026,14.1083,S,Mrs,2
253,748,1,2,female,30.0,0,0,250648,13.0,S,Miss,0
254,543,0,3,female,11.0,4,2,347082,31.275,S,Miss,6
255,376,1,1,female,28.0,1,0,PC 17604,82.1708,C,Mrs,1
256,452,0,3,male,28.0,1,0,65303,19.9667,S,Mrs,1
257,870,1,3,male,4.0,1,1,347742,11.1333,S,Master,2
258,301,1,3,female,28.0,0,0,9234,7.75,Q,Miss,0
259,361,0,3,male,40.0,1,4,347088,27.9,S,Mrs,5
260,605,1,1,male,35.0,0,0,111426,26.55,C,Mrs,0
261,68,0,3,male,19.0,0,0,S.P. 3464,8.1583,S,Mrs,0
262,632,0,3,male,51.0,0,0,347743,7.0542,S,Mrs,0
263,140,0,1,male,24.0,0,0,PC 17593,79.2,C,Mrs,0
264,653,0,3,male,21.0,0,0,8475,8.4333,S,Mrs,0
265,797,1,1,female,49.0,0,0,17465,25.9292,S,Officer,0
266,149,0,2,male,36.5,0,2,230080,26.0,S,Mrs,2
267,26,1,3,female,38.0,1,5,347077,31.3875,S,Mrs,6
268,721,1,2,female,6.0,0,1,248727,33.0,S,Miss,1
269,833,0,3,male,28.0,0,0,2671,7.2292,C,Mrs,0
270,73,0,2,male,21.0,0,0,S.O.C. 14879,73.5,S,Mrs,0
271,99,1,2,female,34.0,0,1,231919,23.0,S,Mrs,1
272,258,1,1,female,30.0,0,0,110152,86.5,S,Miss,0
273,519,1,2,female,36.0,1,0,226875,26.0,S,Mrs,1
274,569,0,3,male,28.0,0,0,2686,7.2292,C,Mrs,0
275,650,1,3,female,23.0,0,0,CA. 2314,7.55,S,Miss,0
276,146,0,2,male,19.0,1,1,C.A. 33112,36.75,S,Mrs,2
277,359,1,3,female,28.0,0,0,330931,7.8792,Q,Miss,0
278,540,1,1,female,22.0,0,2,13568,49.5,C,Miss,2
279,67,1,2,female,29.0,0,0,C.A. 29395,10.5,S,Mrs,0
280,671,1,2,female,40.0,1,1,29750,39.0,S,Mrs,2
281,707,1,2,female,45.0,0,0,223596,13.5,S,Mrs,0
282,38,0,3,male,21.0,0,0,A./5. 2152,8.05,S,Mrs,0
283,266,0,2,male,36.0,0,0,C.A. 17248,10.5,S,Mrs,0
284,413,1,1,female,33.0,1,0,19928,90.0,Q,Miss,1
285,747,0,3,male,16.0,1,1,C.A. 2673,20.25,S,Mrs,2
286,511,1,3,male,29.0,0,0,382651,7.75,Q,Mrs,0
287,21,0,2,male,35.0,0,0,239865,26.0,S,Mrs,0
288,303,0,3,male,19.0,0,0,LINE,0.0,S,Mrs,0
289,555,1,3,female,22.0,0,0,347085,7.775,S,Miss,0
290,70,0,3,male,26.0,2,0,315151,8.6625,S,Mrs,2
291,213,0,3,male,22.0,0,0,A/5 21174,7.25,S,Mrs,0
292,251,0,3,male,28.0,0,0,362316,7.25,S,Mrs,0
293,103,0,1,male,21.0,0,1,35281,77.2875,S,Mrs,1
294,226,0,3,male,22.0,0,0,PP 4348,9.35,S,Mrs,0
295,242,1,3,female,28.0,1,0,367230,15.5,Q,Miss,1
296,377,1,3,female,22.0,0,0,C 7077,7.25,S,Miss,0
